market,timeframe,strategy_family,window,session,market_regime,news_event_regime,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
EURUSD,15M,TREND_CONTINUATION,oos,ASIAN,HIGH_VOLATILITY,UNAVAILABLE,39,-0.0278247448926928,0.282051282051282,0.5303208897861661,0.0328332856240012,-0.3603769649821469,-1.0566020286302331,-0.3603769649821469,72.3076923076923
EURUSD,15M,TREND_CONTINUATION,oos,ASIAN,LOW_VOLATILITY,UNAVAILABLE,44,-0.0306024091371522,0.2954545454545454,0.5388020430352174,0.0306024091371522,-0.3517851307623111,-1.0769248263321916,-0.3517851307623111,63.75
EURUSD,15M,TREND_CONTINUATION,oos,ASIAN,RANGING,UNAVAILABLE,38,-0.0025614302114093,0.4210526315789473,0.9486295974264392,0.0198431914035752,-0.0322257947032023,-1.0622302479545045,-0.0322257947032023,80.52631578947368
EURUSD,15M,TREND_CONTINUATION,oos,ASIAN,TRENDING,UNAVAILABLE,152,-0.0861289275072622,0.3157894736842105,0.6013279109906435,0.0911013299002932,-0.2948414371501905,-1.0705426668447666,-0.2948414371501905,79.24342105263158
EURUSD,15M,TREND_CONTINUATION,oos,LONDON,HIGH_VOLATILITY,UNAVAILABLE,114,-0.0128069963999397,0.4122807017543859,0.9062201928432978,0.0290937344994929,-0.0551617083741688,-1.0370711396883825,-0.0551617083741688,112.76315789473684
EURUSD,15M,TREND_CONTINUATION,oos,LONDON,LOW_VOLATILITY,UNAVAILABLE,4,-0.0017345890728143,0.25,0.6239807565445142,0.0024152042230966,-0.2159252211589541,-0.6039770068805017,-0.2159252211589541,120.0
EURUSD,15M,TREND_CONTINUATION,oos,LONDON,RANGING,UNAVAILABLE,15,-6.489288265598692e-05,0.4666666666666667,0.9987027908653028,0.009062985916849,-0.000740670213054,-1.0271441940524668,-0.000740670213054,65.0
EURUSD,15M,TREND_CONTINUATION,oos,LONDON,TRENDING,UNAVAILABLE,77,-0.0015803718622712,0.4415584415584415,0.9853714502220036,0.0275157868194321,-0.0087943312560415,-1.0554148051018035,-0.0087943312560415,78.11688311688312
EURUSD,15M,TREND_CONTINUATION,oos,NEW_YORK,LOW_VOLATILITY,UNAVAILABLE,9,-0.0026700240109421,0.3333333333333333,0.762023379466165,0.0045717002637653,-0.1472037477714142,-1.0796369243825563,-0.1472037477714142,146.66666666666666
EURUSD,15M,TREND_CONTINUATION,oos,NEW_YORK,RANGING,UNAVAILABLE,1,0.0027969380593091,1.0,inf,0.0,1.398469029654517,1.398469029654517,1.398469029654517,135.0
EURUSD,15M,TREND_CONTINUATION,oos,NEW_YORK,TRENDING,UNAVAILABLE,17,-0.0081496062253439,0.4117647058823529,0.6226908814320796,0.0117285079445462,-0.2394734096659108,-1.0600681035338906,-0.2394734096659108,352.05882352941177
EURUSD,15M,TREND_CONTINUATION,oos,OFF_HOURS,HIGH_VOLATILITY,UNAVAILABLE,2,0.0007954406540986,0.5,1.386653976007093,0.0020726478657929,0.2003493845428687,0.2003493845428687,0.2003493845428687,240.0
