strategy_family,variant,window,pair,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
TREND_CONTINUATION,EMA_PULLBACK_1R,oos,AUDUSD,494,-0.3963951320521637,0.3481781376518219,0.35249601841892425,0.3963951320521637,-0.5097899176927084,-1.1648701981739131,-0.5097899176927084,22.105263157894736
TREND_CONTINUATION,EMA_PULLBACK_1R,oos,EURUSD,495,-0.31865861114342897,0.3939393939393939,0.45874628540198514,0.32119267202766144,-0.386443069019103,-1.1144148287367646,-0.386443069019103,25.19191919191919
TREND_CONTINUATION,EMA_PULLBACK_1R,oos,GBPUSD,558,-0.23897674800030444,0.45698924731182794,0.6138515286624412,0.24022270998925485,-0.24363948033314406,-1.0850235619673172,-0.24363948033314406,18.870967741935484
TREND_CONTINUATION,EMA_PULLBACK_1R,oos,USDJPY,492,-0.1388186920194716,0.4715447154471545,0.7390052661827019,0.15089414708611723,-0.1508585501624725,-1.054334602311071,-0.1508585501624725,23.71951219512195
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_1,AUDUSD,540,-0.25952685796561403,0.42962962962962964,0.5736795813858633,0.26213710098325127,-0.277141493164751,-1.091339402582555,-0.277141493164751,22.796296296296298
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_1,EURUSD,549,-0.3342284740532723,0.39526411657559196,0.47408364512921125,0.335433052751,-0.3693999597566842,-1.113323667208052,-0.3693999597566842,29.626593806921676
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_1,GBPUSD,581,-0.2701071711933225,0.42512908777969016,0.5813663113862988,0.2719288661851989,-0.26990390036865985,-1.058955536948915,-0.26990390036865985,19.01893287435456
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_1,USDJPY,613,-0.24881078937187862,0.4453507340946166,0.6288426176422628,0.250012346683278,-0.23229720695187286,-1.0539041689851039,-0.23229720695187286,27.69983686786297
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_2,AUDUSD,565,-0.27097647046910245,0.44424778761061945,0.572222087925365,0.2749302134852229,-0.27860955684207034,-1.1173664411516957,-0.27860955684207034,46.336283185840706
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_2,EURUSD,508,-0.36246096234548564,0.3838582677165354,0.410018178621922,0.3634648238315269,-0.44189073838618187,-1.1754358128505262,-0.44189073838618187,39.01574803149607
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_2,GBPUSD,622,-0.3194829210931803,0.42604501607717044,0.5393172707164927,0.3363585198434206,-0.3083162466817216,-1.0960046419246545,-0.3083162466817216,19.228295819935692
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_2,USDJPY,660,-0.20826082272462898,0.4696969696969697,0.7033840239196205,0.2127831500044396,-0.1758742949258998,-1.0493401679006453,-0.1758742949258998,25.78787878787879
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_3,AUDUSD,584,-0.42010106562909166,0.3767123287671233,0.3883546334911001,0.42100128968667794,-0.46535927146888373,-1.1729684175532724,-0.46535927146888373,25.393835616438356
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_3,EURUSD,521,-0.3839762187676933,0.3723608445297505,0.3903440722658423,0.3910205405795768,-0.4637756206692303,-1.1579236069508125,-0.4637756206692303,37.11132437619962
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_3,GBPUSD,545,-0.39383173928203397,0.3761467889908257,0.3972556728732112,0.3967155787935909,-0.45808721895589866,-1.139443330324935,-0.45808721895589866,18.01834862385321
TREND_CONTINUATION,EMA_PULLBACK_1R,wf_3,USDJPY,635,-0.2747452070221301,0.431496062992126,0.6041675578996123,0.2884777432093662,-0.25187961554809346,-1.0548777651657686,-0.25187961554809346,27.69291338582677
TREND_CONTINUATION,EMA_PULLBACK_1.5R,oos,AUDUSD,494,-0.3918895983949997,0.2813765182186235,0.4198752009259704,0.3918895983949997,-0.5019243737374564,-1.1736219259052154,-0.5019243737374564,31.973684210526315
TREND_CONTINUATION,EMA_PULLBACK_1.5R,oos,EURUSD,493,-0.3039170682587875,0.3225152129817444,0.5401701006153191,0.30672389475339507,-0.3659125725323928,-1.1317524131162209,-0.3659125725323928,31.896551724137932
TREND_CONTINUATION,EMA_PULLBACK_1.5R,oos,GBPUSD,556,-0.2055745964198028,0.37949640287769787,0.7136047189437587,0.21251593344607078,-0.20543008127309695,-1.0992340114364403,-0.20543008127309695,29.676258992805757
TREND_CONTINUATION,EMA_PULLBACK_1.5R,oos,USDJPY,492,-0.1578226915917239,0.3678861788617886,0.749024665289909,0.17111493716796056,-0.17307838479704768,-1.0664015556034152,-0.17307838479704768,41.43292682926829
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_1,AUDUSD,539,-0.2485301594825785,0.34879406307977734,0.6440442547341552,0.2532093087874191,-0.2635541614458732,-1.100757116035216,-0.2635541614458732,37.64378478664193
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_1,EURUSD,548,-0.33676900564596923,0.31386861313868614,0.5308242475574089,0.33676900564596923,-0.37317072763189163,-1.1300644132904916,-0.37317072763189163,41.17700729927007
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_1,GBPUSD,580,-0.26368340257423306,0.3431034482758621,0.6428814964396239,0.2682220752782856,-0.2623979719555577,-1.0719494610906464,-0.2623979719555577,27.482758620689655
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_1,USDJPY,610,-0.2236798838060674,0.36721311475409835,0.7109230508820845,0.22852458301765155,-0.206022759219431,-1.0656176641631971,-0.206022759219431,51.50819672131148
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_2,AUDUSD,559,-0.2885729646205486,0.34525939177101966,0.6039314058059965,0.2966055403308935,-0.30302825319644305,-1.1316610311373967,-0.30302825319644305,70.95706618962433
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_2,EURUSD,506,-0.34182162664713,0.3181818181818182,0.5017480988519564,0.3452294679979553,-0.4117738783452796,-1.18182350472937,-0.4117738783452796,63.64624505928854
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_2,GBPUSD,617,-0.33312611234639744,0.33225283630470015,0.5775161514839819,0.3446351448324367,-0.3268210307031288,-1.1134019803371358,-0.3268210307031288,32.13938411669368
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_2,USDJPY,658,-0.21167934049048953,0.3738601823708207,0.7428666211932803,0.22009692257693897,-0.17923946320398512,-1.0716002672549556,-0.17923946320398512,36.93768996960486
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_3,AUDUSD,584,-0.44956184514326003,0.2842465753424658,0.4164750299496485,0.45096451801777027,-0.5096268470541901,-1.184774907207954,-0.5096268470541901,45.77054794520548
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_3,EURUSD,520,-0.40342558846612697,0.2846153846153846,0.4270781517001986,0.40671088922983034,-0.4951529723165523,-1.1763770981147323,-0.4951529723165523,49.54807692307692
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_3,GBPUSD,543,-0.36867256130417314,0.31307550644567217,0.4932439514349865,0.37424174926756626,-0.4219530268763276,-1.1489400544751172,-0.4219530268763276,25.635359116022098
TREND_CONTINUATION,EMA_PULLBACK_1.5R,wf_3,USDJPY,633,-0.25853568608727207,0.3522906793048973,0.6754740921024722,0.2733303792802768,-0.23478636565299493,-1.068127189306262,-0.23478636565299493,46.73775671406003
TREND_CONTINUATION,EMA_PULLBACK_2R,oos,AUDUSD,489,-0.39435925300728236,0.2331288343558282,0.44704370799170073,0.39435925300728236,-0.5108916162357844,-1.1806042435523645,-0.5108916162357844,42.852760736196316
TREND_CONTINUATION,EMA_PULLBACK_2R,oos,EURUSD,491,-0.29365886021090626,0.2729124236252546,0.5872853663994108,0.2971560731147596,-0.3520994324102631,-1.139060834420502,-0.3520994324102631,39.205702647657844
TREND_CONTINUATION,EMA_PULLBACK_2R,oos,GBPUSD,550,-0.2346286359270804,0.30363636363636365,0.6992476992588974,0.2374044108350552,-0.2411180007547276,-1.1114304616075366,-0.2411180007547276,39.93636363636364
TREND_CONTINUATION,EMA_PULLBACK_2R,oos,USDJPY,491,-0.14746845176485623,0.31160896130346233,0.7857806938275588,0.16308035217384065,-0.1605336649695662,-1.0689087807818514,-0.1605336649695662,53.65580448065173
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_1,AUDUSD,539,-0.21933643109507694,0.30241187384044527,0.7126896266694221,0.22959086635162584,-0.2277377870951611,-1.1069057251014216,-0.2277377870951611,52.6530612244898
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_1,EURUSD,545,-0.320543630763809,0.26972477064220185,0.58372958159735,0.320543630763809,-0.35265643801183627,-1.1377249637448743,-0.35265643801183627,51.48623853211009
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_1,GBPUSD,578,-0.2761697829104425,0.2820069204152249,0.6535175161390422,0.2834940418872175,-0.2777062689506919,-1.0783584621571112,-0.2777062689506919,36.42733564013841
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_1,USDJPY,610,-0.1701343434757272,0.3262295081967213,0.8010165240515148,0.18490317004962076,-0.15086371979043878,-1.0715423351594198,-0.15086371979043878,63.614754098360656
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_2,AUDUSD,556,-0.23030850682277249,0.31115107913669066,0.7089337871608258,0.2476700970337377,-0.23341746081026335,-1.1339624966887856,-0.23341746081026335,89.75719424460432
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_2,EURUSD,505,-0.3385734183147773,0.26732673267326734,0.5407703072423542,0.34330870918912365,-0.4073249834319792,-1.1853691853044372,-0.4073249834319792,80.07920792079207
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_2,GBPUSD,610,-0.32955600274610697,0.2786885245901639,0.6089771249773956,0.34069108910393125,-0.32581312977676985,-1.1195107199301537,-0.32581312977676985,47.39344262295082
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_2,USDJPY,657,-0.24712709497458551,0.2998477929984779,0.7244862999834951,0.254946506884275,-0.21409860146074602,-1.0785240120678459,-0.21409860146074602,50.54033485540335
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_3,AUDUSD,584,-0.4369304757288368,0.24315068493150685,0.4689326892147493,0.4389249821621546,-0.48983605752123655,-1.19060547383656,-0.48983605752123655,54.29794520547945
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_3,EURUSD,518,-0.4162807286778486,0.22972972972972974,0.44142919717227147,0.4178876015428231,-0.5177730322935105,-1.1809020185323749,-0.5177730322935105,59.51737451737452
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_3,GBPUSD,542,-0.3716236669763775,0.26014760147601473,0.522751684970835,0.37964515406048527,-0.4266809197075765,-1.1544635496986517,-0.4266809197075765,32.23247232472325
TREND_CONTINUATION,EMA_PULLBACK_2R,wf_3,USDJPY,633,-0.2887154812251699,0.2859399684044234,0.6640187808046247,0.296839817680187,-0.26722100785051367,-1.0761132112518248,-0.26722100785051367,58.175355450236964
