window_type,window,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes
calendar,2021,59,-0.02590168230224077,0.3220338983050847,0.6706091770954384,0.030930776533974025,-0.22106970590928057,-1.0194510772028234,-0.22106970590928057,1940.3389830508474
calendar,2022,62,0.02049358951807978,0.4838709677419355,1.3227593851116488,0.013510834843892186,0.16510315366830386,-0.580596889533461,0.16510315366830386,2427.0967741935483
calendar,2023,48,0.022889487435388878,0.5,1.473148894879412,0.014366814897113478,0.23734162850082796,0.427838897296401,0.23734162850082796,2305.0
calendar,2024,52,0.0002160564012823052,0.40384615384615385,1.006168928810032,0.010512474088181806,0.003460618903035647,-1.0093321498815562,0.003460618903035647,2492.3076923076924
calendar,2025,52,0.0023224027783748102,0.40384615384615385,1.0415377719376657,0.026035424482215606,0.023755691802428806,-1.0045836025801549,0.023755691802428806,2441.5384615384614
calendar,2021-2022,132,0.004010151310198662,0.4166666666666667,1.0290004832122261,0.030930776533974025,0.01659755857488103,-1.0149199994118243,0.01659755857488103,2198.181818181818
calendar,2023-2024,110,0.012456637319975261,0.42727272727272725,1.103383714674877,0.014366814897113478,0.05773838273126399,-1.0095927229622,0.05773838273126399,2280.0
calendar,2024-2025,116,0.009114233553967788,0.4224137931034483,1.0728354581156314,0.026035424482215727,0.04054370018406982,-1.0050818903113348,0.04054370018406982,2435.1724137931033
walk_forward,wf_1,73,0.029948444653681516,0.4931506849315068,1.413502664378531,0.013510834843891815,0.2036277922751156,-0.14383274806990434,0.2036277922751156,2403.2876712328766
walk_forward,wf_2,59,0.030595398953615627,0.5084745762711864,1.5314887990800676,0.01436681489711336,0.25696503946233196,0.8081855463427229,0.25696503946233196,2314.576271186441
walk_forward,wf_3,61,-0.008335373590185213,0.3770491803278688,0.8873728274201745,0.010631580935910495,-0.06723639500863403,-1.0096951963787324,-0.06723639500863403,2317.377049180328
walk_forward,oos,64,0.010097705759112063,0.4375,1.1470236533056626,0.026035424482215606,0.0799583486752371,-1.003840617974876,0.0799583486752371,2358.75
