market,timeframe,strategy_family,variant,total_trades,total_return,win_rate,profit_factor,max_drawdown,average_r,median_r,expectancy,average_holding_minutes,zero_cost_profit_factor,zero_cost_expectancy,oos_return,oos_profit_factor,oos_expectancy,status,reason
EURUSD,15M,TREND_CONTINUATION,EMA50_200_PULLBACK,2413,-0.5738749730783521,0.3725652714463324,0.7262973825434274,0.5755607348329135,-0.1754350540539097,-1.05277814982986,-0.1754350540539097,147.5445503522586,0.8913021286287593,-0.064446038161149,-0.1914155592271876,0.7319312673317669,-0.1719688118816597,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,15M,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,2771,-0.7117214905987462,0.3525802959220498,0.6739565217328833,0.7128837126755907,-0.2230600053108416,-1.0749042670230278,-0.2230600053108416,87.41789967520751,0.9077895645711228,-0.055659499410888,-0.2762355681577546,0.6645945378762764,-0.2345697497693799,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,15M,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,997,-0.3907963428466869,0.3440320962888666,0.6568739568627718,0.3938685520617291,-0.2470946026510521,-1.0908787562953073,-0.2470946026510521,45.947843530591776,0.929321317559732,-0.0429543235623482,-0.1021526599535653,0.7001363736516776,-0.2098314526938651,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,15M,SUPPORT_RESISTANCE,HTF_REJECTION,650,-0.0681435724078556,0.4276923076923077,0.9033468214889996,0.0944162500952817,-0.0530619399859462,-0.6400953114352619,-0.0530619399859462,269.4230769230769,1.1449702546374336,0.0716044773564759,-0.0242136157010657,0.8875206235902684,-0.0639222518370425,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable; zero-cost edge fails after costs
EURUSD,15M,RANGE_MEAN_REVERSION,BB_RSI_RANGE,141,-0.0517005221820188,0.3191489361702128,0.7314217181963271,0.0714737387149258,-0.1865454175168939,-1.0645959083492036,-0.1865454175168939,114.8936170212766,1.2104493173672772,0.1194798884170086,-0.021995478415405,0.45892803251759,-0.4104819819377209,FAIL,fewer than 200 trades; profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable; zero-cost edge fails after costs
EURUSD,30M,TREND_CONTINUATION,EMA50_200_PULLBACK,1943,-0.4989120329711304,0.3623262995367988,0.7221409394336499,0.5029546057479963,-0.1765126831639153,-1.038339828891816,-0.1765126831639153,319.0066906845085,0.9187553279604074,-0.0461331664656583,-0.1279188466118604,0.7767948270112374,-0.1397763656357641,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,30M,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,2835,-0.7169807413735959,0.345326278659612,0.6762100940827463,0.7197123871980136,-0.2212418478199324,-1.0517548491661182,-0.2212418478199324,165.64021164021165,0.876090634689721,-0.0751236743503432,-0.2755951540073741,0.6683880187785172,-0.2272856365058394,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,30M,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,1145,-0.3627386656012934,0.3563318777292576,0.7195667805383562,0.3706086951680895,-0.1952937327264671,-1.0639980686955686,-0.1952937327264671,90.8646288209607,0.9207514358902872,-0.0489362602721125,-0.0910836434008055,0.7654191481557397,-0.1593085509542052,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,30M,SUPPORT_RESISTANCE,HTF_REJECTION,385,-0.0470336383107403,0.4259740259740259,0.8912401050570531,0.0673517992048268,-0.0613157712861563,-1.025539357458493,-0.0613157712861563,421.24675324675326,1.1070176054082017,0.054567852659687,-0.0060573117293559,0.9473492467162562,-0.0294090168957456,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable; zero-cost edge fails after costs
EURUSD,30M,RANGE_MEAN_REVERSION,BB_RSI_RANGE,99,-0.0286210417345571,0.3232323232323232,0.7957079381099783,0.043051106304677,-0.1447631922690991,-1.054050975076039,-0.1447631922690991,182.12121212121207,0.8743641675838553,-0.0842516331297976,-0.017630869395394,0.5092021929049443,-0.3850793379185308,FAIL,fewer than 200 trades; profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
EURUSD,1H,TREND_CONTINUATION,EMA50_200_PULLBACK,994,-0.2536912136409134,0.369215291750503,0.7689202711549712,0.2536912136409134,-0.1458528896926946,-1.028169793019126,-0.1458528896926946,615.8148893360161,0.9012034990532924,-0.0580982234706387,-0.0995356919265891,0.6822557299425779,-0.21005958515734,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,1H,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,2236,-0.4500733072829497,0.3783542039355992,0.7854406950958867,0.459310149018924,-0.1323966174629336,-1.0301020737839282,-0.1323966174629336,536.6726296958855,0.924215980423188,-0.043203453174784,-0.1663889911481745,0.7558205137812025,-0.1552770523296887,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,1H,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,729,-0.2480660429448631,0.3443072702331962,0.7118798545363998,0.2534776415070345,-0.1941545068404112,-1.0404184923577449,-0.1941545068404112,219.8353909465021,0.8877617467138003,-0.0686954270403529,-0.0629391418838859,0.736217617928189,-0.1781504222809368,FAIL,profit factor below 1.25; non-positive expectancy after costs; maximum drawdown not below 15%; out-of-sample return is not positive; walk-forward results unstable
EURUSD,1H,SUPPORT_RESISTANCE,HTF_REJECTION,201,-0.0324505351839092,0.3930348258706467,0.8668907839712314,0.0658929154424651,-0.0806887149274534,-1.026425657852925,-0.0806887149274534,674.0298507462686,0.9402232429901164,-0.034655848187784,-0.0266126363566933,0.6602278275111657,-0.2352365508346437,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
EURUSD,1H,RANGE_MEAN_REVERSION,BB_RSI_RANGE,29,0.0020129905064112,0.4137931034482758,1.0702195486553292,0.0197176099951545,0.0362036611721959,-0.1736136380928351,0.0362036611721959,744.8275862068965,1.1916123811732802,0.0932116087001589,-0.0089821886415377,0.1351469849756329,-0.6436717242909582,FAIL,fewer than 200 trades; profit factor below 1.25; out-of-sample return is not positive; walk-forward results unstable
EURUSD,4H,TREND_CONTINUATION,EMA50_200_PULLBACK,270,-0.0169557817508564,0.4,0.9485303996924812,0.035090914664173,-0.0302630310916665,-1.0125854013646556,-0.0302630310916665,2430.222222222222,1.0140956024581944,0.0080100110184157,-0.0032536711714518,0.9590422139873804,-0.0240522284831571,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable; zero-cost edge fails after costs
EURUSD,4H,EMA_VWAP_PULLBACK,EMA20_SESSION_MEAN,682,-0.1302261144435614,0.375366568914956,0.8383814058581633,0.1429079339986813,-0.1008987329498859,-1.0162120101837917,-0.1008987329498859,1833.4310850439883,0.9067682327573948,-0.0561022487483414,-0.0852335847600921,0.6328817159089627,-0.2546517153343389,FAIL,profit factor below 1.25; non-positive expectancy after costs; out-of-sample return is not positive; walk-forward results unstable
EURUSD,4H,COMPRESSION_BREAKOUT,ATR_COMPRESSION_CLOSE,167,0.0130102261823346,0.4251497005988024,1.0696965453123954,0.0353737186486679,0.0401919403757981,-1.016750913918589,0.0401919403757981,1458.682634730539,1.1570240981034832,0.0870276990119821,-0.0089354790615264,0.842081271594919,-0.0983260855655542,FAIL,fewer than 200 trades; profit factor below 1.25; out-of-sample return is not positive; walk-forward results unstable
EURUSD,4H,SUPPORT_RESISTANCE,HTF_REJECTION,67,0.0129230212727664,0.4776119402985074,1.182649192482979,0.019587366380188,0.0972641958927537,-1.0112718202125504,0.0972641958927537,2213.731343283582,1.2286057622457058,0.1194209205761148,0.0088774886087701,1.8736938570193609,0.3698231474706295,FAIL,fewer than 200 trades; profit factor below 1.25; walk-forward results unstable
